Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Macarro Tortajada Daniel,15,55,33,9,0,56,10,36,10,211,120,12,11,197,1.7273,21-2023-2024,2-2023-2024,2023-2024
Romani Leandro Gustavo,14,48,23,12,1,44,17,25,10,163,124,32,18,267,1.5833,48-2023-2024,4-2023-2024,2023-2024
Saxton Vigrass Graham,4,11,7,2,0,17,1,3,3,35,19,5,1,41,1.4545,56-2023-2024,5-2023-2024,2023-2024
Mendez Jimenez Victor,11,40,33,26,1,80,0,12,4,144,71,7,7,131,1.275,117-2023-2024,9-2023-2024,2023-2024
Seybering David,14,57,31,32,0,97,9,26,4,171,110,7,14,192,1.2456,28-2023-2024,3-2023-2024,2023-2024
Dos Santos Cezar Moises,14,56,40,44,0,107,5,22,4,138,112,15,14,199,1.1071,86-2023-2024,6-2023-2024,2023-2024
Da Cruz Neto Walter,11,37,26,18,0,57,2,15,3,130,60,10,16,128,0.7838,154-2023-2024,12-2023-2024,2023-2024
Ruiz Mira Borja,14,47,14,44,0,102,7,34,8,172,98,11,6,165,0.5106,139-2023-2024,10-2023-2024,2023-2024
Tellez Rodriguez Axel,12,38,33,40,2,113,6,30,6,129,65,14,6,114,0.3158,120-2023-2024,9-2023-2024,2023-2024
Allen Serrano Luis Vidal,14,40,17,44,0,90,6,20,1,100,72,13,13,139,0.125,144-2023-2024,11-2023-2024,2023-2024
