Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Dahl Ulrik Bo,14,56,40,50,25,243,17,22,0,45,270,51,52,590,2.7143,92-2023-2024,7-2023-2024,2023-2024
Martina Federico,15,47,4,6,2,115,11,19,1,50,168,11,24,322,2.5957,81-2023-2024,6-2023-2024,2023-2024
Santos Cunha Bruno,15,56,16,39,16,218,20,27,2,83,250,33,42,533,2.5536,106-2023-2024,8-2023-2024,2023-2024
Linares Jose Luis,13,48,17,37,11,150,11,8,0,27,223,47,41,461,2.4583,3-2023-2024,1-2023-2024,2023-2024
Rodriguez Dosal Angel,15,60,32,44,13,242,20,14,0,50,294,81,60,651,2.45,35-2023-2024,3-2023-2024,2023-2024
Nogueira Amorim Victor Lucas,13,47,12,37,6,139,18,3,0,24,188,41,34,365,2.1915,25-2023-2024,2-2023-2024,2023-2024
Neaves Matthew Michael,14,47,19,48,9,164,10,28,0,64,209,29,31,395,2.1702,135-2023-2024,10-2023-2024,2023-2024
Martinez Palacios Miguel Angel,14,44,3,21,5,123,21,16,1,60,148,37,22,327,1.7045,118-2023-2024,9-2023-2024,2023-2024
Pereyra Hernan Federico,4,13,2,7,5,35,7,6,0,17,44,6,13,89,1.6154,78-2023-2024,6-2023-2024,2023-2024
Bezerra Souza Francisco Wallyson,14,43,14,31,7,139,11,19,0,42,116,14,24,264,1.2326,58-2023-2024,5-2023-2024,2023-2024
Danger Mulen Armando,14,53,16,29,5,147,10,27,0,75,171,42,36,384,1.1887,149-2023-2024,11-2023-2024,2023-2024
Osorio Recorda Gerard,15,51,7,56,5,140,14,7,0,43,192,33,62,473,1.0784,163-2023-2024,12-2023-2024,2023-2024
Moreno Mosquera Juan Pablo,9,21,3,15,7,67,2,9,0,19,62,12,12,115,0.9048,62-2023-2024,5-2023-2024,2023-2024
Chourio Gonzalez Anderson Jose,4,6,0,0,0,9,1,1,0,8,5,4,5,18,-0.6667,43-2023-2024,4-2023-2024,2023-2024
